Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,27.67,27.22,25.09,21.71,17.16,16.47,14.51,15.43,18.81,22.26,26.07,26.91
1963,27.17,27.23,25.95,21.23,18.20,14.60,13.63,15.77,18.98,22.76,25.26,27.29
1964,27.60,26.58,25.72,22.13,17.69,15.28,14.90,15.95,19.49,21.13,24.73,25.92
1965,27.80,28.54,25.37,21.46,18.45,15.27,13.12,16.11,19.94,23.44,25.45,27.47
1966,27.58,26.96,25.49,22.22,17.04,15.16,13.67,14.91,18.46,21.19,24.99,26.06
1967,27.88,26.55,23.97,22.52,18.16,14.96,13.43,14.91,18.72,24.21,25.60,26.64
1968,28.25,27.55,25.65,22.55,16.34,15.19,13.18,14.56,18.24,22.34,25.07,26.28
1969,28.94,27.40,25.25,21.67,17.96,14.48,14.89,16.46,17.36,23.43,25.27,26.61
1970,27.88,27.93,25.31,21.80,17.25,15.83,13.85,15.28,18.18,23.08,24.84,27.03
1971,28.31,27.50,25.73,21.39,17.26,13.90,13.56,16.11,19.35,22.89,23.99,26.61
1972,26.94,26.92,24.92,21.59,18.08,15.43,13.87,16.47,19.80,22.96,25.71,28.84
1973,28.81,27.26,25.81,22.80,19.21,15.55,15.85,16.57,19.00,22.74,24.88,26.86
1974,26.81,25.97,25.56,21.27,17.47,14.19,14.40,15.85,18.24,21.68,23.83,26.60
1975,27.10,26.87,24.75,21.56,18.24,14.61,15.84,15.69,19.68,21.01,25.15,26.65
1976,26.21,26.57,25.08,21.38,17.32,14.33,14.14,15.28,18.43,21.19,24.17,27.63
1977,27.84,27.83,24.89,21.59,17.51,14.32,13.72,16.74,18.32,23.35,25.70,27.64
1978,27.79,27.76,26.19,22.06,18.39,14.59,13.73,15.30,17.67,21.88,24.75,26.38
1979,28.99,27.11,25.88,22.05,16.98,15.69,14.23,15.98,19.24,22.65,26.49,28.36
